Athlete,Low,High,Mean,LRC readers
Matthew Centrowitz,400000.00,1000000.00,650000.00,400000.00
Timothy Cheruiyot,50000.00,85000.00,65000.00,100000.00
Elijah Manangoi,30000.00,120000.00,71250.00,100000.00
Leo Manzano,75000.00,150000.00,119000.00,60000.00
Andrew Wheating (peak),400000.00,750000.00,606666.00,150000.00
Asbel Kiprop,0.00,500000.00,191666.00,200000.00
