Athlete,Low,High,Mean,LRC readers
Joe Kovacs,40000.00,60000.00,50000.00,70000.00
Ryan Crouser,60000.00,100000.00,88000.00,75000.00
Vashti Cunningham,75000.00,200000.00,114166.00,100000.00
Marquis Dendy,30000.00,75000.00,51000.00,60000.00
Christian Taylor,100000.00,385000.00,237000.00,125000.00
Raven Saunders,15000.00,50000.00,32000.00,60000.00
Michelle Carter,50000.00,100000.00,70000.00,75000.00
