Athlete,Low,High,Mean,LRC readers
Michael Norman,300000.00,1000000.00,641666.00,200000.00
Sydney McLaughlin (2019),850000.00,2000000.00,1725000.00,450000.00
Noah Lyles,450000.00,1000000.00,590000.00,250000.00
Allyson Felix,0.00,1000000.00,520000.00,500000.00
Justin Gatlin,250000.00,1000000.00,430000.00,250000.00
Christian Coleman,400000.00,1000000.00,758333.00,250000.00
