Athlete,Low,High,Mean,LRC readers
Charlene Lipsey,30000,200000,81667,65000
Erik Sowinski,25000,60000,40000,60000
Elle Purrier,35000,125000,91250,50000
Ben Blankenship,50000,70000,56000,65000
Isaiah Harris,75000,350000,140000,70000
Sam Prakel,15000,100000,55000,50000
Erin Clark,15000,40000,26666,40000
